"","Round","Generation","Best Candidate Fitness","Best Candidate Standard Deviation","Mean Fitness","Elapsed Time(Milli Second)","Best Candidate","Method Name"
"112",1,11,0,0.938669270829721,3.17,11,"[[191, 52441], [49, 590], [43, 9229], [88198726, 7824369], [72, 92], [21, 8079948], [68056, 542612885], [88, 621], [839353695, 906461], [87607, 925]]","isQualifiedForRetirement"
"12",1,33,1,1.02449987798926,3.48,12,"[[0, 254962], [7954, 75377], [318, 8923144], [56, 8724], [6368, 43486779], [34, 6], [85074, 31211], [88, 621], [191, 52441], [929, 1]]","isQualifiedForRetirement"
"13",1,12,2,1.01488915650922,3.9,13,"[[26, 87857], [7954, 75377], [67851994, 24261], [33, 8], [817662, 347855427], [88, 621], [524, 8], [530935, 8455776], [4, 2], [56, 8724]]","isQualifiedForRetirement"
"14",1,13,2,0.877724330299668,4.36,14,"[[0, 46], [829428, 6557031], [235016, 32259876], [300331, 39920], [7, 7], [30, 8], [7349035, 5973], [5703, 934787], [20152671, 4], [26, 87857]]","isQualifiedForRetirement"
"15",1,14,2,0.899499861033897,4.53,15,"[[0, 46], [829428, 6557031], [33, 8], [235016, 32259876], [817662, 347855427], [30, 8], [7349035, 5973], [5703, 934787], [20152671, 4], [26, 87857]]","isQualifiedForRetirement"
"16",1,15,3,0.839702328209229,4.93,16,"[[33, 8], [829428, 6557031], [70, 487758], [67216, 34], [817662, 347855427], [5703, 934787], [3, 2], [929, 1], [96, 2], [20152671, 4]]","isQualifiedForRetirement"
"17",1,16,2,0.926498785752038,5.04,16,"[[26, 87857], [59736377, 3996812], [7954, 75377], [300331, 39920], [3, 2], [817662, 347855427], [88, 621], [34, 6], [72, 92], [7, 926638043]]","isQualifiedForRetirement"
"18",1,17,2,1.20066648158429,5.28,17,"[[8686405, 334731270], [50, 6], [235016, 32259876], [817662, 347855427], [33, 8], [5703, 934787], [7349035, 5973], [70, 487758], [72, 92], [7630642, 15]]","isQualifiedForRetirement"
"19",1,18,3,1.07568582773968,5.73,18,"[[7, 7], [70, 487758], [67216, 34], [829428, 6557031], [817662, 347855427], [6, 6], [85074, 31211], [5703, 934787], [30, 4], [72, 92]]","isQualifiedForRetirement"
"20",1,19,4,1.14973910083984,6.09,19,"[[7954, 75377], [5, 5], [829428, 6557031], [62, 12], [817662, 347855427], [96, 2], [5703, 934787], [72, 92], [30, 4], [235016, 32259876]]","isQualifiedForRetirement"
"21",1,20,4,1.06976632962531,6.66,20,"[[7, 7], [70, 487758], [829428, 6557031], [30, 8], [7954, 75377], [49, 590], [67216, 34], [6, 6], [30, 4], [72, 92]]","isQualifiedForRetirement"
"22",1,21,4,1.01901913622856,6.96,21,"[[1458, 5279567], [88, 621], [33, 8], [817662, 347855427], [34, 6], [6, 6], [72, 92], [5703, 934787], [85074, 31211], [30, 4]]","isQualifiedForRetirement"
"23",1,22,4,1.02352332655392,7.18,21,"[[72, 92], [7, 7], [817662, 347855427], [88, 621], [6, 6], [50, 6], [96, 2], [810, 499715308], [1458, 5279567], [5703, 934787]]","isQualifiedForRetirement"
"24",1,23,5,1.02464628043047,7.51,22,"[[34, 6], [49, 590], [7, 7], [85074, 31211], [817662, 347855427], [6, 6], [7349035, 5973], [3, 2], [5, 5], [78, 0]]","isQualifiedForRetirement"
"25",1,24,6,0.966385016440135,7.81,23,"[[7, 7], [113, 9], [30, 8], [817662, 347855427], [829428, 6557031], [50, 6], [7954, 75377], [3, 2], [96, 2], [72, 92]]","isQualifiedForRetirement"
"26",1,25,6,0.913181252545189,8.31,24,"[[7, 7], [1458, 5279567], [6, 6], [96, 2], [50, 6], [34, 6], [72, 92], [85074, 31211], [859954, 96784], [33, 8]]","isQualifiedForRetirement"
"27",1,26,7,0.954148835350124,8.64,25,"[[7, 7], [30, 4], [33, 8], [67216, 34], [5, 5], [3, 2], [62, 12], [7349035, 5973], [6, 6], [72, 92]]","isQualifiedForRetirement"
"28",1,27,7,0.872868833216079,8.91,25,"[[5, 5], [7, 7], [829428, 6557031], [859954, 96784], [7, 2], [8, 5], [96, 2], [3, 2], [929, 1], [113, 9]]","isQualifiedForRetirement"
"29",1,28,7,0.701712191713953,9.26,26,"[[829428, 6557031], [7, 7], [929, 1], [5, 5], [3, 2], [50, 6], [30, 8], [7349035, 5973], [34, 6], [33, 8]]","isQualifiedForRetirement"
"30",1,29,8,0.624419730629968,9.49,27,"[[96, 2], [7, 7], [3, 2], [33, 8], [8, 5], [7349035, 5973], [50, 6], [78, 0], [34, 6], [30, 8]]","isQualifiedForRetirement"
